arxiv_id_clean,title,subfield_kw,release_month,release_year,upvotes,citation_count,influential_citations,age_months,attention_resid_pct,impact_resid_pct,label,max_prior_papers_true_w99,max_years_active,tierB_resolved,max_hindex,last_author_hindex,n_authors,has_github,num_comments,citation_repaired,ai_keywords
2302.06555,Do Vision and Language Models Share Concepts? A Vector Space Alignment Study,LLM-core,2023-02,2023,9,25.0,2.0,39.84888304862024,0.5885049365303244,0.15585331452750353,neutral,277.0,19.0,True,46.0,46.0,3.0,1,3,0,pretrained language models; mental models; representations; vision models; BERT; GPT-2; OPT; LLaMA-2; ResNet; SegFormer; MAE; isomorphic representations; dispersion; polysemy; frequency
2304.09355,To Compress or Not to Compress- Self-Supervised Learning and Information Theory: A Review,Other,2023-04,2023,7,121.0,5.0,37.71353482260184,0.828367418899859,0.297425952045134,overrated,344.08000000000175,46.0,True,138.0,138.0,2.0,0,0,0,information theory; self-supervised learning; information bottleneck principle; information-theoretic learning problem; information-theoretic quantities; estimators
2305.02412,"Plan, Eliminate, and Track -- Language Models are Good Teachers for Embodied Agents",Benchmark/Eval,2023-05,2023,1,43.0,1.0,37.253613666228645,0.2968088857545839,0.3955394922425952,neutral,111.0,9.0,True,119.0,23.0,8.0,0,0,0,pre-trained large language models; LLMs; transformer architecture; action scoring; action modeling; Plan module; Eliminate module; Track module; AlfWorld; instruction following benchmark
2305.02440,Cheaply Evaluating Inference Efficiency Metrics for Autoregressive Transformer APIs,Efficiency/Systems,2023-05,2023,1,4.0,0.0,37.253613666228645,0.24012693935119886,0.0221262341325811,neutral,206.0,16.0,True,104.0,104.0,6.0,0,0,0,Large language models; LLMs; natural language processing; inference efficiency; Transformer models; autoregressive models; idealized runtime; cost-aware variants
2305.02463,Shap-E: Generating Conditional 3D Implicit Functions,Vision/Image-Gen,2023-05,2023,4,473.0,62.0,37.253613666228645,0.6183004231311706,0.9142277856135402,neutral,17.0,6.0,True,15.0,15.0,2.0,1,1,0,conditional generative model; implicit functions; textured meshes; neural radiance fields; encoder; conditional diffusion model; 3D assets; Point-E; explicit generative model; point clouds
2305.02483,ChatGPT-steered Editing Instructor for Customization of Abstractive Summarization,Agents,2023-05,2023,3,7.0,0.0,37.220762155059134,0.4330042313117066,0.01489774330042313,neutral,41.0,6.0,True,48.0,36.0,4.0,1,1,0,large language models; ChatGPT; tri-agent generation pipeline; generator; instructor; editor; reinforcement learning; editor-steered reinforcement learning; abstractive summarization
2305.02499,AutoML-GPT: Automatic Machine Learning with GPT,LLM-core,2023-05,2023,4,98.0,5.0,37.220762155059134,0.6864421720733427,0.6677538787023978,neutral,17.0,7.0,True,27.0,8.0,5.0,0,5,0,large language models; LLMs; ChatGPT; AutoML-GPT; model architecture; optimization algorithm; hyperparameters; data cards; prompt paragraph; data processing; hyperparameter tuning; computer vision; natural language processing
2305.02549,FormNetV2: Multimodal Graph Contrastive Learning for Form Document Information Extraction,Multimodal,2023-05,2023,7,24.0,2.0,37.220762155059134,0.7365126939351199,0.11089562764456981,overrated,85.0,16.0,True,46.0,46.0,16.0,0,2,0,self-supervised pre-training; multimodal learning; mask language modeling; graph contrastive learning; multimodal representations; bounding box; image features; visual cues; FUNSD; CORD; SROIE; Payment benchmarks
2305.02665,Learning Language-Specific Layers for Multilingual Machine Translation,LLM-core,2023-05,2023,3,22.0,2.0,37.220762155059134,0.5995239774330042,0.22646332863187588,neutral,92.0,16.0,True,21.0,21.0,4.0,0,0,0,Language-Specific Transformer Layers; Transformer Layers; neural architecture search; chrF; spBLEU
2305.02678,Real-Time Neural Appearance Models,Efficiency/Systems,2023-05,2023,1,38.0,1.0,37.220762155059134,0.23981840620592385,0.35225669957686884,neutral,66.0,25.0,True,33.0,33.0,10.0,0,1,0,hierarchical textures; neural decoders; reflectance values; importance-sampled directions; graphics priors; learned shading frames; microfacet sampling distribution; anisotropic sampling; level-of-detail rendering; compact unified neural representation; hardware accelerated tensor operations; real-time path tracer; neural material shaders; coherent execution; divergent execution
2305.02783,Automated Code generation for Information Technology Tasks in YAML through Large Language Models,Code/Math,2023-05,2023,2,7.0,0.0,37.28646517739816,0.4920662905500705,0.05985543018335684,neutral,12.0,8.0,True,14.0,7.0,11.0,0,1,0,transformer-based model; Ansible-YAML; natural-language to code generation; performance metrics; IT Automation
2305.02790,BranchNorm: Robustly Scaling Extremely Deep Transformers,LLM-core,2023-05,2023,1,5.0,0.0,37.220762155059134,0.2909026798307475,0.034908321579689705,neutral,300.0,23.0,True,50.0,50.0,4.0,0,0,0,DeepNorm; Transformers; deep scaling; model update; BranchNorm; gradient norms; training stability; convergence
2305.02968,"Masked Trajectory Models for Prediction, Representation, and Control",Agents,2023-05,2023,1,58.0,10.0,37.220762155059134,0.14862482369534555,0.2816466854724965,neutral,44.0,8.0,True,165.0,34.0,7.0,1,0,0,Masked Trajectory Models; MTM; sequential decision making; trajectory; state-action sequence; forward dynamics model; inverse dynamics model; offline RL agent; state representations; traditional RL algorithms
2305.03027,NeRSemble: Multi-view Radiance Field Reconstruction of Human Heads,Code/Math,2023-05,2023,1,207.0,34.0,37.220762155059134,0.3047425952045134,0.8516396332863188,underrated,183.0,13.0,True,86.0,86.0,5.0,0,0,0,Neural Radiance Fields; Hash Ensembles; NeRSemble; deformation field; multi-resolution hash encodings; radiance field; high-fidelity reconstruction; re-rendering
2305.03040,TUVF: Learning Generalizable Texture UV Radiance Fields,Efficiency/Systems,2023-05,2023,1,9.0,0.0,37.220762155059134,0.23981840620592385,0.06946403385049366,neutral,174.0,19.0,True,45.0,45.0,4.0,0,0,0,Texture UV Radiance Fields (TUVF); UV sphere space; radiance field; texture maps; texture controlling; texture editing
